Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH3 + PC4H9O2 => CH3O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O + PC4H9O => CH3 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
C2H5 + PC4H9O2 => C2H5O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
C2H5O + PC4H9O => C2H5 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
IC3H7 + PC4H9O2 => IC3H7O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
IC3H7O + PC4H9O => IC3H7 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
NC3H7 + PC4H9O2 => NC3H7O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
NC3H7O + PC4H9O => NC3H7 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9 + PC4H9O2 => 2 PC4H9O,6.93E-01,1.00E-09,1.00E-09
2 PC4H9O => PC4H9 + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 + SC4H9 => PC4H9O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
PC4H9O + SC4H9O => PC4H9O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
C3H5-A + PC4H9O2 => C3H5O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
C3H5O + PC4H9O => C3H5-A + PC4H9O2,6.93E-01,1.00E-09,1.00E-09
HO2 + PC4H9 => OH + PC4H9O,6.93E-01,1.00E-09,1.00E-09
OH + PC4H9O => HO2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
HO2 + SC4H9 => OH + SC4H9O,6.93E-01,1.00E-09,1.00E-09
OH + SC4H9O => HO2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
CH3O2 + PC4H9 => CH3O + PC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O + PC4H9O => CH3O2 + PC4H9,6.93E-01,1.00E-09,1.00E-09
CH3O2 + SC4H9 => CH3O + SC4H9O,6.93E-01,1.00E-09,1.00E-09
CH3O + SC4H9O => CH3O2 + SC4H9,6.93E-01,1.00E-09,1.00E-09
PC4H9O2H => OH + PC4H9O,6.93E-01,1.00E-09,1.00E-09
OH + PC4H9O => PC4H9O2H,6.93E-01,1.00E-09,1.00E-09
SC4H9O2H => OH + SC4H9O,6.93E-01,1.00E-09,1.00E-09
OH + SC4H9O => SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
PC4H9O => CH2O + NC3H7,6.93E-01,1.00E-09,1.00E-09
CH2O + NC3H7 => PC4H9O,6.93E-01,1.00E-09,1.00E-09
SC4H9O => C2H5CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5CHO + CH3 => SC4H9O,6.93E-01,1.00E-09,1.00E-09
SC4H9O => C2H5 + CH3CHO,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH3CHO => SC4H9O,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 => C4H8OOH1-2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2 => PC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 => C4H8OOH1-3,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3 => PC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 => C4H8OOH1-4,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-4 => PC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => C4H8OOH2-1,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => C4H8OOH2-3,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => C4H8OOH2-4,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
PC4H9O2 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => PC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
SC4H9O2 => C4H8-2 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + HO2 => SC4H9O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => C4H8OOH1-2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1 => C4H8-1 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-1 + HO2 => C4H8OOH2-1,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3 => C4H8-2 + HO2,6.93E-01,1.00E-09,1.00E-09
C4H8-2 + HO2 => C4H8OOH2-3,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2 => C4H8O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3 => C4H8O1-3 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-4 => C4H8O1-4 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1 => C4H8O1-2 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3 => C4H8O2-3 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4 => C4H8O1-3 + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-1 => NC3H7CHO + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + OH => C4H8OOH1-1,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-2 => C2H5COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + OH => C4H8OOH2-2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3 => C3H6 + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4 => C2H4 + CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2O2 => C4H8OOH1-2 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2 + O2 => C4H8OOH1-2O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3O2 => C4H8OOH1-3 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3 + O2 => C4H8OOH1-3O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-4O2 => C4H8OOH1-4 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-4 + O2 => C4H8OOH1-4O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1O2 => C4H8OOH2-1 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1 + O2 => C4H8OOH2-1O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3O2 => C4H8OOH2-3 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3 + O2 => C4H8OOH2-3O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4O2 => C4H8OOH2-4 + O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4 + O2 => C4H8OOH2-4O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-2O2 => NC4KET12 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET12 + OH => C4H8OOH1-2O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-3O2 => NC4KET13 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET13 + OH => C4H8OOH1-3O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH1-4O2 => NC4KET14 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET14 + OH => C4H8OOH1-4O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-1O2 => NC4KET21 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET21 + OH => C4H8OOH2-1O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-3O2 => NC4KET23 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET23 + OH => C4H8OOH2-3O2,6.93E-01,1.00E-09,1.00E-09
C4H8OOH2-4O2 => NC4KET24 + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET24 + OH => C4H8OOH2-4O2,6.93E-01,1.00E-09,1.00E-09
NC4KET12 => C2H5CHO + HCO + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET13 => CH2CHO + CH3CHO + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET14 => CH2CH2CHO + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET21 => C2H5CO + CH2O + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET23 => CH3CHO + CH3CO + OH,6.93E-01,1.00E-09,1.00E-09
NC4KET24 => CH2O + CH3COCH2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + OH => CH2CH2COCH3 + H2O,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + H2O => C2H5COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + OH => CH3CHCOCH3 + H2O,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + H2O => C2H5COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + OH => C2H5COCH2 + H2O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + H2O => C2H5COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + HO2 => CH2CH2COCH3 + H2O2,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + H2O2 => C2H5COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + HO2 => CH3CHCOCH3 + H2O2,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + H2O2 => C2H5COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + HO2 => C2H5COCH2 + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + H2O2 => C2H5COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O => CH2CH2COCH3 + OH,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + OH => C2H5COCH3 + O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O => CH3CHCOCH3 + OH,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + OH => C2H5COCH3 + O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O => C2H5COCH2 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + OH => C2H5COCH3 + O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + H => CH2CH2COCH3 + H2,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + H2 => C2H5COCH3 + H,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + H => CH3CHCOCH3 + H2,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + H2 => C2H5COCH3 + H,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + H => C2H5COCH2 + H2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + H2 => C2H5COCH3 + H,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O2 => CH2CH2COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + HO2 => C2H5COCH3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O2 => CH3CHCOCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + HO2 => C2H5COCH3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + O2 => C2H5COCH2 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + HO2 => C2H5COCH3 + O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3 => CH2CH2COCH3 + CH4,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + CH4 => C2H5COCH3 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3 => CH3CHCOCH3 + CH4,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + CH4 => C2H5COCH3 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3 => C2H5COCH2 + CH4,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + CH4 => C2H5COCH3 + CH3,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O => CH2CH2COCH3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + CH3OH => C2H5COCH3 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O => CH3CHCOCH3 + CH3OH,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + CH3OH => C2H5COCH3 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O => C2H5COCH2 + CH3OH,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + CH3OH => C2H5COCH3 + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O2 => CH2CH2COCH3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
CH2CH2COCH3 + CH3O2H => C2H5COCH3 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O2 => CH3CHCOCH3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + CH3O2H => C2H5COCH3 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H5COCH3 + CH3O2 => C2H5COCH2 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + CH3O2H => C2H5COCH3 + CH3O2,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5COCH3 => C2H4 + CH2CH2COCH3,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH2CH2COCH3 => C2H3 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5COCH3 => C2H4 + CH3CHCOCH3,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH3CHCOCH3 => C2H3 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
C2H3 + C2H5COCH3 => C2H4 + C2H5COCH2,6.93E-01,1.00E-09,1.00E-09
C2H4 + C2H5COCH2 => C2H3 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5COCH3 => C2H6 + CH2CH2COCH3,6.93E-01,1.00E-09,1.00E-09
C2H6 + CH2CH2COCH3 => C2H5 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5COCH3 => C2H6 + CH3CHCOCH3,6.93E-01,1.00E-09,1.00E-09
C2H6 + CH3CHCOCH3 => C2H5 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
C2H5 + C2H5COCH3 => C2H5COCH2 + C2H6,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 + C2H6 => C2H5 + C2H5COCH3,6.93E-01,1.00E-09,1.00E-09
CH3CHOOCOCH3 => CH3CHCOCH3 + O2,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 + O2 => CH3CHOOCOCH3,6.93E-01,1.00E-09,1.00E-09
CH3CHOOCOCH3 => CH2CHOOHCOCH3,6.93E-01,1.00E-09,1.00E-09
CH2CHOOHCOCH3 => CH3CHOOCOCH3,6.93E-01,1.00E-09,1.00E-09
CH2CHOOHCOCH3 => C2H3COCH3 + HO2,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + HO2 => CH2CHOOHCOCH3,6.93E-01,1.00E-09,1.00E-09
CH2CH2CHO => C2H4 + HCO,6.93E-01,1.00E-09,1.00E-09
C2H4 + HCO => CH2CH2CHO,6.93E-01,1.00E-09,1.00E-09
C2H5COCH2 => C2H5 + CH2CO,6.93E-01,1.00E-09,1.00E-09
C2H5 + CH2CO => C2H5COCH2,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 => C2H3COCH3 + H,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + H => CH3CHCOCH3,6.93E-01,1.00E-09,1.00E-09
CH3CHCOCH3 => CH3 + CH3CHCO,6.93E-01,1.00E-09,1.00E-09
CH3 + CH3CHCO => CH3CHCOCH3,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + O2 => HO2 + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7CO => NC3H7CHO + O2,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + OH => H2O + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
H2O + NC3H7CO => NC3H7CHO + OH,6.93E-01,1.00E-09,1.00E-09
H + NC3H7CHO => H2 + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
H2 + NC3H7CO => H + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + O => NC3H7CO + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7CO + OH => NC3H7CHO + O,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7CHO => H2O2 + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
H2O2 + NC3H7CO => HO2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3 + NC3H7CHO => CH4 + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
CH4 + NC3H7CO => CH3 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3O + NC3H7CHO => CH3OH + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
CH3OH + NC3H7CO => CH3O + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7CHO => CH3O2H + NC3H7CO,6.93E-01,1.00E-09,1.00E-09
CH3O2H + NC3H7CO => CH3O2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + OH => C3H6CHO-1 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-1 + H2O => NC3H7CHO + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + OH => C3H6CHO-2 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-2 + H2O => NC3H7CHO + OH,6.93E-01,1.00E-09,1.00E-09
NC3H7CHO + OH => C3H6CHO-3 + H2O,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-3 + H2O => NC3H7CHO + OH,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7CHO => C3H6CHO-1 + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-1 + H2O2 => HO2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7CHO => C3H6CHO-2 + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-2 + H2O2 => HO2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
HO2 + NC3H7CHO => C3H6CHO-3 + H2O2,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-3 + H2O2 => HO2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7CHO => C3H6CHO-1 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-1 + CH3O2H => CH3O2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7CHO => C3H6CHO-2 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-2 + CH3O2H => CH3O2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
CH3O2 + NC3H7CHO => C3H6CHO-3 + CH3O2H,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-3 + CH3O2H => CH3O2 + NC3H7CHO,6.93E-01,1.00E-09,1.00E-09
NC3H7CO => CO + NC3H7,6.93E-01,1.00E-09,1.00E-09
CO + NC3H7 => NC3H7CO,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-1 => C2H4 + CH2CHO,6.93E-01,1.00E-09,1.00E-09
C2H4 + CH2CHO => C3H6CHO-1,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-3 => C2H5CHCO + H,6.93E-01,1.00E-09,1.00E-09
C2H5CHCO + H => C3H6CHO-3,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-3 => C2H3CHO + CH3,6.93E-01,1.00E-09,1.00E-09
C2H3CHO + CH3 => C3H6CHO-3,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-2 => H + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
H + SC3H5CHO => C3H6CHO-2,6.93E-01,1.00E-09,1.00E-09
C3H6CHO-2 => C3H6 + HCO,6.93E-01,1.00E-09,1.00E-09
C3H6 + HCO => C3H6CHO-2,6.93E-01,1.00E-09,1.00E-09
C2H5CHCO + OH => CO2 + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5CHCO + H => CO + NC3H7,6.93E-01,1.00E-09,1.00E-09
C2H5CHCO + O => C3H6 + CO2,6.93E-01,1.00E-09,1.00E-09
OH + SC3H5CHO => H2O + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
H2O + SC3H5CO => OH + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
SC3H5CO => C3H5-S + CO,6.93E-01,1.00E-09,1.00E-09
C3H5-S + CO => SC3H5CO,6.93E-01,1.00E-09,1.00E-09
HO2 + SC3H5CHO => H2O2 + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
H2O2 + SC3H5CO => HO2 + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
CH3 + SC3H5CHO => CH4 + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
CH4 + SC3H5CO => CH3 + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
O + SC3H5CHO => OH + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
OH + SC3H5CO => O + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
O2 + SC3H5CHO => HO2 + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
HO2 + SC3H5CO => O2 + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
H + SC3H5CHO => H2 + SC3H5CO,6.93E-01,1.00E-09,1.00E-09
H2 + SC3H5CO => H + SC3H5CHO,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + OH => CH3CHO + CH3CO,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + OH => C2H3 + CH2CO + H2O,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + HO2 => CH2CHO + CH3CO + OH,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + HO2 => C2H3 + CH2CO + H2O2,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + CH3O2 => CH2CHO + CH3CO + CH3O,6.93E-01,1.00E-09,1.00E-09
C2H3COCH3 + CH3O2 => C2H3 + CH2CO + CH3O2H,6.93E-01,1.00E-09,1.00E-09
IC4H10 (+M) <=> CH3 + IC3H7 (+M),6.93E-01,1.00E-09,1.00E-09
IC4H10 => H + TC4H9,6.93E-01,1.00E-09,1.00E-09
H + TC4H9 => IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 => H + IC4H9,6.93E-01,1.00E-09,1.00E-09
H + IC4H9 => IC4H10,6.93E-01,1.00E-09,1.00E-09
H + IC4H10 => H2 + TC4H9,6.93E-01,1.00E-09,1.00E-09
H2 + TC4H9 => H + IC4H10,6.93E-01,1.00E-09,1.00E-09
H + IC4H10 => H2 + IC4H9,6.93E-01,1.00E-09,1.00E-09
H2 + IC4H9 => H + IC4H10,6.93E-01,1.00E-09,1.00E-09
CH3 + IC4H10 => CH4 + TC4H9,6.93E-01,1.00E-09,1.00E-09
CH4 + TC4H9 => CH3 + IC4H10,6.93E-01,1.00E-09,1.00E-09
CH3 + IC4H10 => CH4 + IC4H9,6.93E-01,1.00E-09,1.00E-09
CH4 + IC4H9 => CH3 + IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 + OH => H2O + TC4H9,6.93E-01,1.00E-09,1.00E-09
H2O + TC4H9 => IC4H10 + OH,6.93E-01,1.00E-09,1.00E-09
IC4H10 + OH => H2O + IC4H9,6.93E-01,1.00E-09,1.00E-09
H2O + IC4H9 => IC4H10 + OH,6.93E-01,1.00E-09,1.00E-09
C2H5 + IC4H10 => C2H6 + IC4H9,6.93E-01,1.00E-09,1.00E-09
C2H6 + IC4H9 => C2H5 + IC4H10,6.93E-01,1.00E-09,1.00E-09
C2H5 + IC4H10 => C2H6 + TC4H9,6.93E-01,1.00E-09,1.00E-09
C2H6 + TC4H9 => C2H5 + IC4H10,6.93E-01,1.00E-09,1.00E-09
HO2 + IC4H10 => H2O2 + IC4H9,6.93E-01,1.00E-09,1.00E-09
H2O2 + IC4H9 => HO2 + IC4H10,6.93E-01,1.00E-09,1.00E-09
HO2 + IC4H10 => H2O2 + TC4H9,6.93E-01,1.00E-09,1.00E-09
H2O2 + TC4H9 => HO2 + IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O => OH + TC4H9,6.93E-01,1.00E-09,1.00E-09
OH + TC4H9 => IC4H10 + O,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O => IC4H9 + OH,6.93E-01,1.00E-09,1.00E-09
IC4H9 + OH => IC4H10 + O,6.93E-01,1.00E-09,1.00E-09
CH3O + IC4H10 => CH3OH + IC4H9,6.93E-01,1.00E-09,1.00E-09
CH3OH + IC4H9 => CH3O + IC4H10,6.93E-01,1.00E-09,1.00E-09
CH3O + IC4H10 => CH3OH + TC4H9,6.93E-01,1.00E-09,1.00E-09
CH3OH + TC4H9 => CH3O + IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O2 => HO2 + IC4H9,6.93E-01,1.00E-09,1.00E-09
HO2 + IC4H9 => IC4H10 + O2,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O2 => HO2 + TC4H9,6.93E-01,1.00E-09,1.00E-09
HO2 + TC4H9 => IC4H10 + O2,6.93E-01,1.00E-09,1.00E-09
CH3O2 + IC4H10 => CH3O2H + IC4H9,6.93E-01,1.00E-09,1.00E-09
CH3O2H + IC4H9 => CH3O2 + IC4H10,6.93E-01,1.00E-09,1.00E-09
C2H5O2 + IC4H10 => C2H5O2H + IC4H9,6.93E-01,1.00E-09,1.00E-09
C2H5O2H + IC4H9 => C2H5O2 + IC4H10,6.93E-01,1.00E-09,1.00E-09
CH3CO3 + IC4H10 => CH3CO3H + IC4H9,6.93E-01,1.00E-09,1.00E-09
CH3CO3H + IC4H9 => CH3CO3 + IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 + NC3H7O2 => IC4H9 + NC3H7O2H,6.93E-01,1.00E-09,1.00E-09
IC4H9 + NC3H7O2H => IC4H10 + NC3H7O2,6.93E-01,1.00E-09,1.00E-09
IC3H7O2 + IC4H10 => IC3H7O2H + IC4H9,6.93E-01,1.00E-09,1.00E-09
IC3H7O2H + IC4H9 => IC3H7O2 + IC4H10,6.93E-01,1.00E-09,1.00E-09
IC4H10 + IC4H9O2 => IC4H9 + IC4H9O2H,6.93E-01,1.00E-09,1.00E-09
IC4H9 + IC4H9O2H => IC4H10 + IC4H9O2,6.93E-01,1.00E-09,1.00E-09
IC4H10 + TC4H9O2 => IC4H9 + TC4H9O2H,6.93E-01,1.00E-09,1.00E-09
IC4H9 + TC4H9O2H => IC4H10 + TC4H9O2,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O2CHO => HO2CHO + IC4H9,6.93E-01,1.00E-09,1.00E-09
HO2CHO + IC4H9 => IC4H10 + O2CHO,6.93E-01,1.00E-09,1.00E-09
IC4H10 + O2CHO => HO2CHO + TC4H9,6.93E-01,1.00E-09,1.00E-09
HO2CHO + TC4H9 => IC4H10 + O2CHO,6.93E-01,1.00E-09,1.00E-09
IC4H10 + SC4H9O2 => IC4H9 + SC4H9O2H,6.93E-01,1.00E-09,1.00E-09
