Temp,k_original,,Temp_optimized,k_optimized,,,Baldwin_and_Walker_T,Baldwin_and_Walker_k,,,Temp_Kyser,k_Kyser,,Temp_Srindharan,k_Sridharan,,Baldwin_and_Walker_T_reinturp,Baldwin_and_Walker_k_reinturp
572,4.84759E+13,,572,5.25902E+13,,,,,,,,,,,,,,
573,4.84915E+13,,573,5.26209E+13,,,,,,,,,,,,,,
574,4.8507E+13,,574,5.26515E+13,,,,,,,,,,,,,,
575,4.85226E+13,,575,5.2682E+13,,,,,,,,,,,,,,
576,4.85381E+13,,576,5.27125E+13,,,,,,,,,,,,,,
577,4.85537E+13,,577,5.2743E+13,,,,,,,,,,,,,,
578,4.85692E+13,,578,5.27735E+13,,,,,,,,,,,,,,
579,4.85847E+13,,579,5.28039E+13,,,,,,,,,,,,,,
580,4.86002E+13,,580,5.28342E+13,,,,,,,,,,,,,,
581,4.86158E+13,,581,5.28645E+13,,,,,,,,,,,,,,
582,4.86313E+13,,582,5.28948E+13,,,,,,,,,,,,,,
583,4.86468E+13,,583,5.2925E+13,,,,,,,,,,,,,,
584,4.86623E+13,,584,5.29552E+13,,,,,,,,,,,,,,
585,4.86777E+13,,585,5.29854E+13,,,,,,,,,,,,,,
586,4.86932E+13,,586,5.30155E+13,,,,,,,,,,,,,,
587,4.87087E+13,,587,5.30455E+13,,,,,,,,,,,,,,
588,4.87242E+13,,588,5.30756E+13,,,,,,,,,,,,,,
589,4.87396E+13,,589,5.31056E+13,,,,,,,,,,,,,,
590,4.87551E+13,,590,5.31355E+13,,,,,,,,,,,,,,
591,4.87705E+13,,591,5.31654E+13,,,,,,,,,,,,,,
592,4.8786E+13,,592,5.31953E+13,,,,,,,,,,,,,,
593,4.88014E+13,,593,5.32251E+13,,,,,,,,,,,,,,
594,4.88168E+13,,594,5.32549E+13,,,,,,,,,,,,,,
595,4.88323E+13,,595,5.32847E+13,,,,,,,,,,,,,,
596,4.88477E+13,,596,5.33144E+13,,,,,,,,,,,,,,
597,4.88631E+13,,597,5.33441E+13,,,,,,,,,,,,,,
598,4.88785E+13,,598,5.33737E+13,,,,,,,,,,,,,,
599,4.88939E+13,,599,5.34033E+13,,,,,,,,,,,,,,
600,4.89093E+13,,600,5.34328E+13,,,,,,,,,,,,,,
601,4.89247E+13,,601,5.34624E+13,,,,,,,,,,,,,,
602,4.89401E+13,,602,5.34918E+13,,,,,,,,,,,,,,
603,4.89554E+13,,603,5.35213E+13,,,,,,,,,,,,,,
604,4.89708E+13,,604,5.35507E+13,,,,,,,,,,,,,,
605,4.89862E+13,,605,5.358E+13,,,,,,,,,,,,,,
606,4.90015E+13,,606,5.36094E+13,,,,,,,,,,,,,,
607,4.90169E+13,,607,5.36387E+13,,,,,,,,,,,,,,
608,4.90322E+13,,608,5.36679E+13,,,,,,,,,,,,,,
609,4.90475E+13,,609,5.36971E+13,,,,,,,,,,,,,,
610,4.90629E+13,,610,5.37263E+13,,,,,,,,,,,,,,
611,4.90782E+13,,611,5.37554E+13,,,,,,,,,,,,,,
612,4.90935E+13,,612,5.37846E+13,,,,,,,,,,,,,,
